status,path,classification,include_in_current_commit
"M","content-memory/website-blog-posts.json","unrelated_blog_data_dirty_preexisting","no"
"M","ops/one-time-mishnah/onetime-database-bootstrap-report.json","unrelated_one_time_provisioning_report_dirty_preexisting","no"
"M","ops/one-time-mishnah/onetime-railway-provisioning-report.json","unrelated_one_time_provisioning_report_dirty_preexisting","no"
"M","ops/playwright-smokes/2026-06-19-agent-control-browser-local/desktop-list.png","unrelated_old_playwright_evidence_dirty_preexisting","no"
"M","ops/playwright-smokes/2026-06-19-agent-control-browser-local/desktop-run.png","unrelated_old_playwright_evidence_dirty_preexisting","no"
"M","ops/playwright-smokes/2026-06-19-agent-control-browser-local/interactive-report.json","unrelated_old_playwright_evidence_dirty_preexisting","no"
"M","ops/playwright-smokes/2026-06-19-agent-control-browser-local/interactive-report.md","unrelated_old_playwright_evidence_dirty_preexisting","no"
"M","ops/playwright-smokes/2026-06-19-agent-control-browser-local/interactive-run.png","unrelated_old_playwright_evidence_dirty_preexisting","no"
"M","ops/playwright-smokes/2026-06-19-agent-control-browser-local/mobile-360-list.png","unrelated_old_playwright_evidence_dirty_preexisting","no"
"M","ops/playwright-smokes/2026-06-19-agent-control-browser-local/mobile-390-run.png","unrelated_old_playwright_evidence_dirty_preexisting","no"
"M","ops/playwright-smokes/2026-06-19-agent-control-browser-local/report.json","unrelated_old_playwright_evidence_dirty_preexisting","no"
"M","ops/playwright-smokes/2026-06-19-agent-control-browser-local/report.md","unrelated_old_playwright_evidence_dirty_preexisting","no"
"M","ops/playwright-smokes/2026-06-19-agent-control-browser-local/tablet-run.png","unrelated_old_playwright_evidence_dirty_preexisting","no"
"M","ops/playwright-smokes/2026-06-19-one-time-operations-ui-local/desktop.png","unrelated_old_playwright_evidence_dirty_preexisting","no"
"M","ops/playwright-smokes/2026-06-19-one-time-operations-ui-local/mobile-agents.png","unrelated_old_playwright_evidence_dirty_preexisting","no"
"M","ops/playwright-smokes/2026-06-19-one-time-operations-ui-local/report.json","unrelated_old_playwright_evidence_dirty_preexisting","no"
"M","ops/playwright-smokes/2026-06-19-one-time-operations-ui-local/report.md","unrelated_old_playwright_evidence_dirty_preexisting","no"
"M","ops/playwright-smokes/2026-06-23-service-provider-studio-local/desktop-overview.png","unrelated_old_playwright_evidence_dirty_preexisting","no"
"M","ops/playwright-smokes/2026-06-23-service-provider-studio-local/mobile-handoff.png","unrelated_old_playwright_evidence_dirty_preexisting","no"
"M","package.json","current_batch_owner_review_visual_or_intake","yes"
"M","public/data/website-blog-posts.json","unrelated_blog_data_dirty_preexisting","no"
"M","public/index.html","current_batch_owner_review_visual_or_intake","yes"
"M","tests/owner-review-role-flow-contract.test.js","current_batch_owner_review_visual_or_intake","yes"
"??","docs/owner-review/PUBLIC-VISUAL-AUDIT.md","current_batch_owner_review_visual_or_intake","yes"
"??","ops/playwright-smokes/2026-06-24-owner-review-public-visual/","current_batch_owner_review_visual_or_intake","yes"
"??","ops/watchdog-audits/2026-06-24T03-20-watchdog-link-audit.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-21-raw-intake-drift.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-21-watchdog-action-audit.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-21-watchdog-security-routes.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-22-raw-intake-drift.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-22-watchdog-action-audit.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-22-watchdog-link-audit.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-22-watchdog-security-routes.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-49-raw-intake-drift.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-49-watchdog-action-audit.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-49-watchdog-link-audit.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-49-watchdog-security-routes.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-50-raw-intake-drift.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-50-watchdog-action-audit.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-50-watchdog-link-audit.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-50-watchdog-security-routes.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-51-raw-intake-drift.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-51-watchdog-action-audit.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-51-watchdog-link-audit.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-51-watchdog-security-routes.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-53-raw-intake-drift.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-53-watchdog-action-audit.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-53-watchdog-security-routes.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-54-raw-intake-drift.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-54-watchdog-action-audit.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-54-watchdog-link-audit.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T03-54-watchdog-security-routes.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T04-09-raw-intake-drift.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T04-18-raw-intake-drift.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T04-18-watchdog-action-audit.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T04-18-watchdog-security-routes.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T04-29-raw-intake-drift.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T04-29-watchdog-action-audit.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T04-29-watchdog-security-routes.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T04-30-raw-intake-drift.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T04-53-watchdog-link-audit.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T04-54-raw-intake-drift.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T04-54-watchdog-action-audit.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T04-54-watchdog-link-audit.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T04-54-watchdog-security-routes.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T05-00-raw-intake-drift.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T05-00-watchdog-action-audit.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","ops/watchdog-audits/2026-06-24T05-00-watchdog-security-routes.md","untracked_watchdog_output_not_part_of_final_evidence","no"
"??","raw-input/RAW-20260624-002-full-system-reality-audit-and-unblocked-implementation-pass.md","current_batch_owner_review_visual_or_intake","yes"
"??","scripts/smoke-owner-review-public-visual.mjs","current_batch_owner_review_visual_or_intake","yes"
"??","tasks-pending/2026-06-24-full-system-reality-audit-and-unblocked-implementation-pass.md","current_batch_owner_review_visual_or_intake","yes"
