E	 M	.gitignore	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	.mcp.json	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	AGENTS.md	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	Dockerfile	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	KIMI-BOOTSTRAP.md	Not confidently attributable to the focused release; needs Shloimie review.
D	 M	MEMORY.md	Broad memory/task ledger or process file deliberately excluded from the focused release patch.
D	 M	PROJECT-NOTES.md	Broad memory/task ledger or process file deliberately excluded from the focused release patch.
E	 M	SUPABASE_SETUP.md	Not confidently attributable to the focused release; needs Shloimie review.
D	 M	SYSTEM-STATE.md	Broad memory/task ledger or process file deliberately excluded from the focused release patch.
D	 M	TASKS.md	Broad memory/task ledger or process file deliberately excluded from the focused release patch.
E	 M	agents/rabbi-elie-scheller/AGENTS.md	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	agents/rabbi-elie-scheller/MEMORY.md	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	agents/rabbi-elie-scheller/SETUP.md	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	brand-kit/01-core-beliefs.md	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	brand-kit/04-student-growth-principles.md	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	brand-kit/README.md	Not confidently attributable to the focused release; needs Shloimie review.
D	 M	content-memory/README.md	Unrelated existing work or historical/generated audit material outside this release.
D	 M	content-memory/drive-mapping.md	Unrelated existing work or historical/generated audit material outside this release.
D	 M	content-memory/transcripts/002-video-from-drive-20260527-140157-mp4.md	Unrelated existing work or historical/generated audit material outside this release.
D	 M	content-memory/transcripts/004-class-recording-weber-torah-m4a.md	Unrelated existing work or historical/generated audit material outside this release.
D	 M	content-memory/transcripts/005-outdoor-torah-learning-and-forest-day-schedule-update.md	Unrelated existing work or historical/generated audit material outside this release.
D	 M	content-memory/transcripts/006-outdoor-torah-learning-and-forest-day-update.md	Unrelated existing work or historical/generated audit material outside this release.
D	 M	content-memory/transcripts/007-all-day-mishnayas-learning-and-micro-schools.md	Unrelated existing work or historical/generated audit material outside this release.
D	 M	content-memory/transcripts/008-gaava-focus-and-the-jewish-calendar.md	Unrelated existing work or historical/generated audit material outside this release.
D	 M	content-memory/transcripts/018-setting-personal-learning-and-fitness-goals-discussion.md	Unrelated existing work or historical/generated audit material outside this release.
D	 M	content-memory/transcripts/019-setting-personal-learning-and-fitness-goals.md	Unrelated existing work or historical/generated audit material outside this release.
D	 M	content-memory/transcripts/020-torah-learning-goals-and-camping-trip-incentive.md	Unrelated existing work or historical/generated audit material outside this release.
D	 M	content-memory/transcripts/021-bnei-neviim-torah-learning-and-accountability-update.md	Unrelated existing work or historical/generated audit material outside this release.
D	 M	content-memory/transcripts/index.md	Unrelated existing work or historical/generated audit material outside this release.
D	R 	docs/archive/legacy-family-accountability/ARCHITECTURE.md	Unrelated existing work or historical/generated audit material outside this release.
D	R 	docs/archive/legacy-family-accountability/CHANGELOG.md	Unrelated existing work or historical/generated audit material outside this release.
D	R 	docs/archive/legacy-family-accountability/CLAUDE_CODE_PROMPT.md	Unrelated existing work or historical/generated audit material outside this release.
D	R 	docs/archive/legacy-family-accountability/DESIGN.md	Unrelated existing work or historical/generated audit material outside this release.
D	R 	docs/archive/legacy-family-accountability/README-bundle.md	Unrelated existing work or historical/generated audit material outside this release.
D	R 	docs/archive/legacy-family-accountability/README-family-accountability.md	Unrelated existing work or historical/generated audit material outside this release.
D	R 	docs/archive/legacy-family-accountability/SETUP.md	Unrelated existing work or historical/generated audit material outside this release.
D	R 	docs/archive/legacy-family-accountability/SPEC.md	Unrelated existing work or historical/generated audit material outside this release.
D	R 	docs/archive/legacy-family-accountability/WISHLIST.md	Unrelated existing work or historical/generated audit material outside this release.
D	R 	docs/archive/legacy-family-accountability/launch.html	Unrelated existing work or historical/generated audit material outside this release.
D	R 	docs/archive/legacy-family-accountability/onboarding-index.html	Unrelated existing work or historical/generated audit material outside this release.
D	R 	docs/archive/legacy-family-accountability/supabase-migration-002.sql	Unrelated existing work or historical/generated audit material outside this release.
D	R 	docs/archive/legacy-family-accountability/supabase-schema.sql	Unrelated existing work or historical/generated audit material outside this release.
D	R 	docs/archive/legacy-supabase-setup/RUN_IN_SUPABASE.sql	Unrelated existing work or historical/generated audit material outside this release.
D	R 	docs/archive/legacy-supabase-setup/supabase-migration-003-bna-tasks.sql	Unrelated existing work or historical/generated audit material outside this release.
D	R 	docs/archive/legacy-supabase-setup/supabase-migration-004-cli-bridge.sql	Unrelated existing work or historical/generated audit material outside this release.
E	 M	migrate-railway.sql	Not confidently attributable to the focused release; needs Shloimie review.
F	 D	next.config.mjs	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
D	 M	ops/agent-changelog.md	Broad memory/task ledger or process file deliberately excluded from the focused release patch.
