id,label,group,viewport,rating,status,screenshot,url,visibleButtonCount,visibleLinkCount,disabledButtonCount
public-home,Public Site Home,Public Website,desktop,8.1,ok,screenshots/desktop/public-home.jpg,https://bneineviimacademy.org/,20,38,0
public-home-he,Public Site Home Hebrew Route,Public Website,desktop,8.7,ok,screenshots/desktop/public-home-he.jpg,https://bneineviimacademy.org/he,18,26,0
public-blog,Blog,Public Website,desktop,8.6,ok,screenshots/desktop/public-blog.jpg,https://bneineviimacademy.org/blog,10,55,0
public-blog-he,Blog Hebrew Route,Public Website,desktop,9.2,ok,screenshots/desktop/public-blog-he.jpg,https://bneineviimacademy.org/he/blog,7,31,0
public-faq,FAQ,Public Website,desktop,9.2,ok,screenshots/desktop/public-faq.jpg,https://bneineviimacademy.org/faq,0,19,0
public-faq-he,FAQ Hebrew Route,Public Website,desktop,9.2,ok,screenshots/desktop/public-faq-he.jpg,https://bneineviimacademy.org/he/faq,0,19,0
public-signup,Signup English,Public Website,desktop,9.2,ok,screenshots/desktop/public-signup.jpg,https://bneineviimacademy.org/signup.html,7,3,0
public-signup-he,Signup Hebrew,Public Website,desktop,9.2,ok,screenshots/desktop/public-signup-he.jpg,https://bneineviimacademy.org/signup-he.html,7,3,0
public-signup-thank-you,Signup Thank You,Public Website,desktop,9.2,ok,screenshots/desktop/public-signup-thank-you.jpg,https://bneineviimacademy.org/signup-thank-you.html,1,1,0
public-parent-handbook,Parent Handbook,Public Website,desktop,9.2,ok,screenshots/desktop/public-parent-handbook.jpg,https://bneineviimacademy.org/documents/parent-handbook.html,1,2,1
operations-login,Operations Login,Auth / Login,desktop,8.8,ok,screenshots/desktop/operations-login.jpg,https://bneineviimacademy.org/operations-login.html,1,0,0
parent-login,Parent Portal Login,Parent Portal,desktop,8.8,ok,screenshots/desktop/parent-login.jpg,https://bneineviimacademy.org/parent,4,0,0
student-login,Student Workspace Login,Student Workspace,desktop,8.8,ok,screenshots/desktop/student-login.jpg,https://bneineviimacademy.org/student,3,0,0
provider-login,Provider Portal Login,Provider Portal,desktop,8.8,ok,screenshots/desktop/provider-login.jpg,https://bneineviimacademy.org/provider,1,0,0
provider-join,Provider Join / Onboarding,Provider Onboarding,desktop,9.2,ok,screenshots/desktop/provider-join.jpg,https://bneineviimacademy.org/providers/join,3,1,0
parent-login-hebrew,Parent Portal Login - Hebrew,Parent Portal,desktop,8.8,ok,screenshots/desktop/parent-login-hebrew.jpg,https://bneineviimacademy.org/parent,4,0,0
parent-password-reset,Parent Portal Password Reset Request,Parent Portal,desktop,9.2,ok,screenshots/desktop/parent-password-reset.jpg,https://bneineviimacademy.org/parent,4,0,0
student-login-hebrew,Student Workspace Login - Hebrew,Student Workspace,desktop,8.8,ok,screenshots/desktop/student-login-hebrew.jpg,https://bneineviimacademy.org/student,3,0,0
provider-join-filled-draft,Provider Join Form Filled Draft,Provider Onboarding,desktop,9.2,ok,screenshots/desktop/provider-join-filled-draft.jpg,https://bneineviimacademy.org/providers/join,3,1,0
