id,label,group,viewport,rating,status,screenshot,url,visibleButtonCount,visibleLinkCount,disabledButtonCount
one-time-landing,One Time Landing,One Time Public,desktop-1440,9.2,ok,screenshots/desktop-1440/one-time-landing.jpg,https://bneineviimacademy.org/rabbi,4,8,4
one-time-member-library,One Time Member Library,One Time Public,desktop-1440,9.2,ok,screenshots/desktop-1440/one-time-member-library.jpg,https://bneineviimacademy.org/member-library,1,0,0
one-time-classroom,One Time Classroom,One Time Public,desktop-1440,9.2,ok,screenshots/desktop-1440/one-time-classroom.jpg,https://bneineviimacademy.org/one-time-classroom,3,2,0
parent-portal,Parent Portal,Parent Portal,desktop-1440,9.2,ok,screenshots/desktop-1440/parent-portal.jpg,https://bneineviimacademy.org/parent,9,3,0
student-portal,Student Portal,Student Workspace,desktop-1440,9.2,ok,screenshots/desktop-1440/student-portal.jpg,https://bneineviimacademy.org/student,8,3,0
provider-portal,Provider Portal,Provider Portal,desktop-1440,9.2,ok,screenshots/desktop-1440/provider-portal.jpg,https://bneineviimacademy.org/provider,5,3,0
operations-overview,Operations / Overview,Operations Batch 6,desktop-1440,9.2,ok,screenshots/desktop-1440/operations-overview.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=dashboard&section=overview,48,1,0
operations-tasks,Operations / Tasks,Operations Batch 6,desktop-1440,8.5,ok,screenshots/desktop-1440/operations-tasks.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=tasks&section=tasks,79,1,0
operations-decisions,Operations / Decisions,Operations Batch 6,desktop-1440,8.5,ok,screenshots/desktop-1440/operations-decisions.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=tasks&section=decisions,79,1,0
operations-contacts-members,Operations / Contacts and Members,Operations Batch 6,desktop-1440,9.2,ok,screenshots/desktop-1440/operations-contacts-members.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=contacts&section=participants,43,1,0
operations-users,Operations / Users,Operations Batch 6,desktop-1440,8.5,ok,screenshots/desktop-1440/operations-users.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=admin&section=users,66,1,1
operations-communications,Operations / Communications,Operations Batch 6,desktop-1440,8.5,ok,screenshots/desktop-1440/operations-communications.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=communications&section=overview,63,1,0
operations-whatsapp,Operations / WhatsApp,Operations Batch 6,desktop-1440,9.2,ok,screenshots/desktop-1440/operations-whatsapp.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=communications&section=whatsapp,51,1,0
operations-email,Operations / Email,Operations Batch 6,desktop-1440,9.2,ok,screenshots/desktop-1440/operations-email.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=communications&section=email,50,1,0
operations-community,Operations / Community,Operations Batch 6,desktop-1440,9.2,ok,screenshots/desktop-1440/operations-community.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=community&section=overview,51,1,0
operations-content,Operations / Content,Operations Batch 6,desktop-1440,9.2,ok,screenshots/desktop-1440/operations-content.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=content&section=library,54,1,0
operations-member-library,Operations / Member Library,Operations Batch 6,desktop-1440,7.9,ok,screenshots/desktop-1440/operations-member-library.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=content&section=one_time_library,71,2,0
operations-classroom,Operations / Classroom,Operations Batch 6,desktop-1440,9.2,ok,screenshots/desktop-1440/operations-classroom.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=content&section=meetings,46,1,0
operations-live-classes,Operations / Live Classes,Operations Batch 6,desktop-1440,8.5,ok,screenshots/desktop-1440/operations-live-classes.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=live_classes&section=overview,107,6,0
operations-schedule,Operations / Schedule,Operations Batch 6,desktop-1440,9.2,ok,screenshots/desktop-1440/operations-schedule.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=service_providers&section=schedule,47,1,1
operations-integrations,Operations / Integrations,Operations Batch 6,desktop-1440,8.5,ok,screenshots/desktop-1440/operations-integrations.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=integrations&section=readiness,57,1,0
operations-settings,Operations / Settings,Operations Batch 6,desktop-1440,9.2,ok,screenshots/desktop-1440/operations-settings.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=settings&section=users_access,53,1,0
operations-agents,Operations / Agents,Operations Batch 6,desktop-1440,9.2,ok,screenshots/desktop-1440/operations-agents.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=agents&section=ready,49,1,0
one-time-landing,One Time Landing,One Time Public,desktop-1024,9.2,ok,screenshots/desktop-1024/one-time-landing.jpg,https://bneineviimacademy.org/rabbi,4,8,4
one-time-member-library,One Time Member Library,One Time Public,desktop-1024,9.2,ok,screenshots/desktop-1024/one-time-member-library.jpg,https://bneineviimacademy.org/member-library,1,0,0
one-time-classroom,One Time Classroom,One Time Public,desktop-1024,9.2,ok,screenshots/desktop-1024/one-time-classroom.jpg,https://bneineviimacademy.org/one-time-classroom,3,2,0
parent-portal,Parent Portal,Parent Portal,desktop-1024,9.2,ok,screenshots/desktop-1024/parent-portal.jpg,https://bneineviimacademy.org/parent,9,3,0
student-portal,Student Portal,Student Workspace,desktop-1024,9.2,ok,screenshots/desktop-1024/student-portal.jpg,https://bneineviimacademy.org/student,8,3,0
provider-portal,Provider Portal,Provider Portal,desktop-1024,9.2,ok,screenshots/desktop-1024/provider-portal.jpg,https://bneineviimacademy.org/provider,5,3,0
operations-overview,Operations / Overview,Operations Batch 6,desktop-1024,9.2,ok,screenshots/desktop-1024/operations-overview.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=dashboard&section=overview,48,1,0
operations-tasks,Operations / Tasks,Operations Batch 6,desktop-1024,8.5,ok,screenshots/desktop-1024/operations-tasks.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=tasks&section=tasks,79,1,0
operations-decisions,Operations / Decisions,Operations Batch 6,desktop-1024,8.5,ok,screenshots/desktop-1024/operations-decisions.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=tasks&section=decisions,79,1,0
operations-contacts-members,Operations / Contacts and Members,Operations Batch 6,desktop-1024,9.2,ok,screenshots/desktop-1024/operations-contacts-members.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=contacts&section=participants,43,1,0
operations-users,Operations / Users,Operations Batch 6,desktop-1024,8.5,ok,screenshots/desktop-1024/operations-users.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=admin&section=users,66,1,1
operations-communications,Operations / Communications,Operations Batch 6,desktop-1024,8.5,ok,screenshots/desktop-1024/operations-communications.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=communications&section=overview,63,1,0
operations-whatsapp,Operations / WhatsApp,Operations Batch 6,desktop-1024,9.2,ok,screenshots/desktop-1024/operations-whatsapp.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=communications&section=whatsapp,51,1,0
operations-email,Operations / Email,Operations Batch 6,desktop-1024,9.2,ok,screenshots/desktop-1024/operations-email.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=communications&section=email,50,1,0
operations-community,Operations / Community,Operations Batch 6,desktop-1024,9.2,ok,screenshots/desktop-1024/operations-community.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=community&section=overview,51,1,0
operations-content,Operations / Content,Operations Batch 6,desktop-1024,9.2,ok,screenshots/desktop-1024/operations-content.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=content&section=library,54,1,0
operations-member-library,Operations / Member Library,Operations Batch 6,desktop-1024,7.9,ok,screenshots/desktop-1024/operations-member-library.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=content&section=one_time_library,71,2,0
operations-classroom,Operations / Classroom,Operations Batch 6,desktop-1024,9.2,ok,screenshots/desktop-1024/operations-classroom.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=content&section=meetings,46,1,0
operations-live-classes,Operations / Live Classes,Operations Batch 6,desktop-1024,8.5,ok,screenshots/desktop-1024/operations-live-classes.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=live_classes&section=overview,107,6,0
operations-schedule,Operations / Schedule,Operations Batch 6,desktop-1024,9.2,ok,screenshots/desktop-1024/operations-schedule.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=service_providers&section=schedule,47,1,1
operations-integrations,Operations / Integrations,Operations Batch 6,desktop-1024,8.5,ok,screenshots/desktop-1024/operations-integrations.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=integrations&section=readiness,57,1,0
operations-settings,Operations / Settings,Operations Batch 6,desktop-1024,9.2,ok,screenshots/desktop-1024/operations-settings.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=settings&section=users_access,53,1,0
operations-agents,Operations / Agents,Operations Batch 6,desktop-1024,9.2,ok,screenshots/desktop-1024/operations-agents.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=agents&section=ready,49,1,0
one-time-landing,One Time Landing,One Time Public,tablet-768,9.2,ok,screenshots/tablet-768/one-time-landing.jpg,https://bneineviimacademy.org/rabbi,4,8,4
one-time-member-library,One Time Member Library,One Time Public,tablet-768,9.2,ok,screenshots/tablet-768/one-time-member-library.jpg,https://bneineviimacademy.org/member-library,1,0,0
one-time-classroom,One Time Classroom,One Time Public,tablet-768,9.2,ok,screenshots/tablet-768/one-time-classroom.jpg,https://bneineviimacademy.org/one-time-classroom,3,2,0
parent-portal,Parent Portal,Parent Portal,tablet-768,9.2,ok,screenshots/tablet-768/parent-portal.jpg,https://bneineviimacademy.org/parent,9,3,0
student-portal,Student Portal,Student Workspace,tablet-768,9.2,ok,screenshots/tablet-768/student-portal.jpg,https://bneineviimacademy.org/student,8,3,0
provider-portal,Provider Portal,Provider Portal,tablet-768,9.2,ok,screenshots/tablet-768/provider-portal.jpg,https://bneineviimacademy.org/provider,5,3,0
operations-overview,Operations / Overview,Operations Batch 6,tablet-768,9.2,ok,screenshots/tablet-768/operations-overview.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=dashboard&section=overview,17,0,0
operations-tasks,Operations / Tasks,Operations Batch 6,tablet-768,9.2,ok,screenshots/tablet-768/operations-tasks.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=tasks&section=tasks,48,0,0
operations-decisions,Operations / Decisions,Operations Batch 6,tablet-768,9.2,ok,screenshots/tablet-768/operations-decisions.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=tasks&section=decisions,48,0,0
operations-contacts-members,Operations / Contacts and Members,Operations Batch 6,tablet-768,9.2,ok,screenshots/tablet-768/operations-contacts-members.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=contacts&section=participants,12,0,0
operations-users,Operations / Users,Operations Batch 6,tablet-768,9.2,ok,screenshots/tablet-768/operations-users.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=admin&section=users,30,0,1
operations-communications,Operations / Communications,Operations Batch 6,tablet-768,9.2,ok,screenshots/tablet-768/operations-communications.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=communications&section=overview,32,0,0
operations-whatsapp,Operations / WhatsApp,Operations Batch 6,tablet-768,9.2,ok,screenshots/tablet-768/operations-whatsapp.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=communications&section=whatsapp,20,0,0
operations-email,Operations / Email,Operations Batch 6,tablet-768,9.2,ok,screenshots/tablet-768/operations-email.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=communications&section=email,19,0,0
operations-community,Operations / Community,Operations Batch 6,tablet-768,9.2,ok,screenshots/tablet-768/operations-community.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=community&section=overview,20,0,0
operations-content,Operations / Content,Operations Batch 6,tablet-768,9.2,ok,screenshots/tablet-768/operations-content.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=content&section=library,23,0,0
operations-member-library,Operations / Member Library,Operations Batch 6,tablet-768,8.6,ok,screenshots/tablet-768/operations-member-library.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=content&section=one_time_library,40,1,0
operations-classroom,Operations / Classroom,Operations Batch 6,tablet-768,9.2,ok,screenshots/tablet-768/operations-classroom.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=content&section=meetings,15,0,0
operations-live-classes,Operations / Live Classes,Operations Batch 6,tablet-768,8.5,ok,screenshots/tablet-768/operations-live-classes.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=live_classes&section=overview,76,5,0
operations-schedule,Operations / Schedule,Operations Batch 6,tablet-768,9.2,ok,screenshots/tablet-768/operations-schedule.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=service_providers&section=schedule,16,0,1
operations-integrations,Operations / Integrations,Operations Batch 6,tablet-768,9.2,ok,screenshots/tablet-768/operations-integrations.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=integrations&section=readiness,26,0,0
operations-settings,Operations / Settings,Operations Batch 6,tablet-768,9.2,ok,screenshots/tablet-768/operations-settings.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=settings&section=users_access,22,0,0
operations-agents,Operations / Agents,Operations Batch 6,tablet-768,9.2,ok,screenshots/tablet-768/operations-agents.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=agents&section=ready,18,0,0
one-time-landing,One Time Landing,One Time Public,mobile-430,9.2,ok,screenshots/mobile-430/one-time-landing.jpg,https://bneineviimacademy.org/rabbi,4,8,4
one-time-member-library,One Time Member Library,One Time Public,mobile-430,9.2,ok,screenshots/mobile-430/one-time-member-library.jpg,https://bneineviimacademy.org/member-library,1,0,0
one-time-classroom,One Time Classroom,One Time Public,mobile-430,9.2,ok,screenshots/mobile-430/one-time-classroom.jpg,https://bneineviimacademy.org/one-time-classroom,3,2,0
parent-portal,Parent Portal,Parent Portal,mobile-430,9.2,ok,screenshots/mobile-430/parent-portal.jpg,https://bneineviimacademy.org/parent,9,3,0
student-portal,Student Portal,Student Workspace,mobile-430,9.2,ok,screenshots/mobile-430/student-portal.jpg,https://bneineviimacademy.org/student,8,3,0
provider-portal,Provider Portal,Provider Portal,mobile-430,9.2,ok,screenshots/mobile-430/provider-portal.jpg,https://bneineviimacademy.org/provider,5,3,0
operations-overview,Operations / Overview,Operations Batch 6,mobile-430,9.2,ok,screenshots/mobile-430/operations-overview.jpg,https://bneineviimacademy.org/operations?workspace=rabbi_sheller_provider&view=dashboard&section=overview,17,0,0
