issue_id,severity,category,title,description,affected_screen_ids,affected_routes,affected_roles,affected_workspaces,evidence_screenshots,expected_behavior,actual_behavior,recommendation,priority,implementation_notes
OVERSIZED-LAYOUT-001,P2,oversized_layout,Too many card/panel blocks,The screen has 74 card-like elements.,PUBLIC__WEBSITE__WEBSITE__PUBLIC_SITE_HOME__LOAD__DESKTOP__001,/,Public,Public Website,screenshots/desktop/PUBLIC__WEBSITE__WEBSITE__PUBLIC_SITE_HOME__LOAD__DESKTOP__001.png,"Page is compact, scannable, and action hierarchy is clear.",The screen has 74 card-like elements.,Use compact tables/lists and open details in drawers/pages.,P2,public/*.html and shared CSS
OVERSIZED-LAYOUT-002,P2,oversized_layout,Too many card/panel blocks,The screen has 73 card-like elements.,PUBLIC__WEBSITE__WEBSITE__BLOG__LOAD__DESKTOP__003,/blog,Public,Public Website,screenshots/desktop/PUBLIC__WEBSITE__WEBSITE__BLOG__LOAD__DESKTOP__003.png,"Page is compact, scannable, and action hierarchy is clear.",The screen has 73 card-like elements.,Use compact tables/lists and open details in drawers/pages.,P2,public/*.html and shared CSS
BOT-PANEL-003,P1,bot_panel,Parent assistant is missing or not obvious,"The school parent/student experience should expose a scoped natural-language help panel, but the current captured state does not make it obvious.",PARENT__BNA__PORTAL__PARENT_PORTAL_LOGIN__LOAD__DESKTOP__012,/parent,Parent,BNA School Workspace,screenshots/desktop/PARENT__BNA__PORTAL__PARENT_PORTAL_LOGIN__LOAD__DESKTOP__012.png,Scoped bot/help assistant is visible and safe for the current role.,"The school parent/student experience should expose a scoped natural-language help panel, but the current captured state does not make it obvious.","Add a bottom-right assistant on desktop and a sticky Ask/help bar or full-screen sheet on mobile, with explicit scope text.",P1,public/parent.html
BOT-PANEL-004,P1,bot_panel,Student assistant is missing or not obvious,"The school parent/student experience should expose a scoped natural-language help panel, but the current captured state does not make it obvious.",STUDENT__BNA__PORTAL__STUDENT_WORKSPACE_LOGIN__LOAD__DESKTOP__013,/student,Student,BNA School Workspace,screenshots/desktop/STUDENT__BNA__PORTAL__STUDENT_WORKSPACE_LOGIN__LOAD__DESKTOP__013.png,Scoped bot/help assistant is visible and safe for the current role.,"The school parent/student experience should expose a scoped natural-language help panel, but the current captured state does not make it obvious.","Add a bottom-right assistant on desktop and a sticky Ask/help bar or full-screen sheet on mobile, with explicit scope text.",P1,public/student.html
BOT-PANEL-005,P1,bot_panel,Parent assistant is missing or not obvious,"The school parent/student experience should expose a scoped natural-language help panel, but the current captured state does not make it obvious.",PARENT__BNA__PORTAL__HEBREW_STATE__SWITCH_HEBREW__DESKTOP__016,/parent,Parent,BNA School Workspace,screenshots/desktop/PARENT__BNA__PORTAL__HEBREW_STATE__SWITCH_HEBREW__DESKTOP__016.png,Scoped bot/help assistant is visible and safe for the current role.,"The school parent/student experience should expose a scoped natural-language help panel, but the current captured state does not make it obvious.","Add a bottom-right assistant on desktop and a sticky Ask/help bar or full-screen sheet on mobile, with explicit scope text.",P1,public/parent.html
BOT-PANEL-006,P1,bot_panel,Parent assistant is missing or not obvious,"The school parent/student experience should expose a scoped natural-language help panel, but the current captured state does not make it obvious.",PARENT__BNA__PORTAL__PASSWORD_RESET__OPEN_PASSWORD_RESET__DESKTOP__017,/parent,Parent,BNA School Workspace,screenshots/desktop/PARENT__BNA__PORTAL__PASSWORD_RESET__OPEN_PASSWORD_RESET__DESKTOP__017.png,Scoped bot/help assistant is visible and safe for the current role.,"The school parent/student experience should expose a scoped natural-language help panel, but the current captured state does not make it obvious.","Add a bottom-right assistant on desktop and a sticky Ask/help bar or full-screen sheet on mobile, with explicit scope text.",P1,public/parent.html
BOT-PANEL-007,P1,bot_panel,Student assistant is missing or not obvious,"The school parent/student experience should expose a scoped natural-language help panel, but the current captured state does not make it obvious.",STUDENT__BNA__PORTAL__HEBREW_STATE__SWITCH_HEBREW__DESKTOP__018,/student,Student,BNA School Workspace,screenshots/desktop/STUDENT__BNA__PORTAL__HEBREW_STATE__SWITCH_HEBREW__DESKTOP__018.png,Scoped bot/help assistant is visible and safe for the current role.,"The school parent/student experience should expose a scoped natural-language help panel, but the current captured state does not make it obvious.","Add a bottom-right assistant on desktop and a sticky Ask/help bar or full-screen sheet on mobile, with explicit scope text.",P1,public/student.html
OVERSIZED-LAYOUT-008,P2,oversized_layout,Too many card/panel blocks,The screen has 83 card-like elements.,SUPERADMIN__PLATFORM__SERVICE_PROVIDERS__OVERVIEW__LOAD__DESKTOP__081,/operations?workspace=platform&view=service_providers&section=overview,Super Admin,Platform,screenshots/desktop/SUPERADMIN__PLATFORM__SERVICE_PROVIDERS__OVERVIEW__LOAD__DESKTOP__081.png,"Page is compact, scannable, and action hierarchy is clear.",The screen has 83 card-like elements.,Use compact tables/lists and open details in drawers/pages.,P2,public/operations.html
OVERSIZED-LAYOUT-009,P2,oversized_layout,Too many card/panel blocks,The screen has 82 card-like elements.,SUPERADMIN__PLATFORM__SERVICE_PROVIDERS__DIRECTORY__LOAD__DESKTOP__082,/operations?workspace=platform&view=service_providers&section=directory,Super Admin,Platform,screenshots/desktop/SUPERADMIN__PLATFORM__SERVICE_PROVIDERS__DIRECTORY__LOAD__DESKTOP__082.png,"Page is compact, scannable, and action hierarchy is clear.",The screen has 82 card-like elements.,Use compact tables/lists and open details in drawers/pages.,P2,public/operations.html
OVERSIZED-LAYOUT-010,P2,oversized_layout,Too many visible actions,The screen exposes 75 visible actions.,SUPERADMIN__PLATFORM__SERVICE_PROVIDERS__WORKSPACES__LOAD__DESKTOP__083,/operations?workspace=platform&view=service_providers&section=workspaces,Super Admin,Platform,screenshots/desktop/SUPERADMIN__PLATFORM__SERVICE_PROVIDERS__WORKSPACES__LOAD__DESKTOP__083.png,"Page is compact, scannable, and action hierarchy is clear.",The screen exposes 75 visible actions.,Keep one primary action visible and group secondary actions into action menus.,P2,public/operations.html
OVERSIZED-LAYOUT-011,P2,oversized_layout,Too many card/panel blocks,The screen has 62 card-like elements.,SUPERADMIN__PLATFORM__SERVICE_PROVIDERS__WORKSPACES__LOAD__DESKTOP__083,/operations?workspace=platform&view=service_providers&section=workspaces,Super Admin,Platform,screenshots/desktop/SUPERADMIN__PLATFORM__SERVICE_PROVIDERS__WORKSPACES__LOAD__DESKTOP__083.png,"Page is compact, scannable, and action hierarchy is clear.",The screen has 62 card-like elements.,Use compact tables/lists and open details in drawers/pages.,P2,public/operations.html
SETTINGS-PLACEHOLDER-012,P1,settings_placeholder,Too much placeholder language,The screen overuses not-configured/disabled/placeholder wording.,SUPERADMIN__PLATFORM__SERVICE_PROVIDERS__WORKSPACES__LOAD__DESKTOP__083,/operations?workspace=platform&view=service_providers&section=workspaces,Super Admin,Platform,screenshots/desktop/SUPERADMIN__PLATFORM__SERVICE_PROVIDERS__WORKSPACES__LOAD__DESKTOP__083.png,Settings pages show real rows/fields with only missing controls disabled.,The screen overuses not-configured/disabled/placeholder wording.,Render real settings rows and disable only the missing controls with one-line helper text.,P1,public/operations.html
SETTINGS-PLACEHOLDER-013,P1,settings_placeholder,Too much placeholder language,The screen overuses not-configured/disabled/placeholder wording.,SUPERADMIN__PLATFORM__SERVICE_PROVIDERS__SETTINGS__LOAD__DESKTOP__094,/operations?workspace=platform&view=service_providers&section=settings,Super Admin,Platform,screenshots/desktop/SUPERADMIN__PLATFORM__SERVICE_PROVIDERS__SETTINGS__LOAD__DESKTOP__094.png,Settings pages show real rows/fields with only missing controls disabled.,The screen overuses not-configured/disabled/placeholder wording.,Render real settings rows and disable only the missing controls with one-line helper text.,P1,public/operations.html
OVERSIZED-LAYOUT-014,P2,oversized_layout,Too many card/panel blocks,The screen has 203 card-like elements.,SUPERADMIN__PLATFORM__COMMUNICATIONS__OVERVIEW__LOAD__DESKTOP__095,/operations?workspace=platform&view=communications&section=overview,Super Admin,Platform,screenshots/desktop/SUPERADMIN__PLATFORM__COMMUNICATIONS__OVERVIEW__LOAD__DESKTOP__095.png,"Page is compact, scannable, and action hierarchy is clear.",The screen has 203 card-like elements.,Use compact tables/lists and open details in drawers/pages.,P2,public/operations.html
OVERSIZED-LAYOUT-015,P2,oversized_layout,Too many card/panel blocks,The screen has 194 card-like elements.,SUPERADMIN__PLATFORM__COMMUNICATIONS__PARENTS__LOAD__DESKTOP__096,/operations?workspace=platform&view=communications&section=parents,Super Admin,Platform,screenshots/desktop/SUPERADMIN__PLATFORM__COMMUNICATIONS__PARENTS__LOAD__DESKTOP__096.png,"Page is compact, scannable, and action hierarchy is clear.",The screen has 194 card-like elements.,Use compact tables/lists and open details in drawers/pages.,P2,public/operations.html
OVERSIZED-LAYOUT-016,P2,oversized_layout,Too many card/panel blocks,The screen has 90 card-like elements.,SUPERADMIN__PLATFORM__COMMUNICATIONS__EMAIL__LOAD__DESKTOP__101,/operations?workspace=platform&view=communications&section=email,Super Admin,Platform,screenshots/desktop/SUPERADMIN__PLATFORM__COMMUNICATIONS__EMAIL__LOAD__DESKTOP__101.png,"Page is compact, scannable, and action hierarchy is clear.",The screen has 90 card-like elements.,Use compact tables/lists and open details in drawers/pages.,P2,public/operations.html
OVERSIZED-LAYOUT-017,P2,oversized_layout,Too many visible actions,The screen exposes 73 visible actions.,SUPERADMIN__PLATFORM__SETTINGS__INTEGRATIONS__LOAD__DESKTOP__156,/operations?workspace=platform&view=settings&section=integrations,Super Admin,Platform,screenshots/desktop/SUPERADMIN__PLATFORM__SETTINGS__INTEGRATIONS__LOAD__DESKTOP__156.png,"Page is compact, scannable, and action hierarchy is clear.",The screen exposes 73 visible actions.,Keep one primary action visible and group secondary actions into action menus.,P2,public/operations.html
SETTINGS-PLACEHOLDER-018,P1,settings_placeholder,Too much placeholder language,The screen overuses not-configured/disabled/placeholder wording.,SUPERADMIN__PLATFORM__SETTINGS__INTEGRATIONS__LOAD__DESKTOP__156,/operations?workspace=platform&view=settings&section=integrations,Super Admin,Platform,screenshots/desktop/SUPERADMIN__PLATFORM__SETTINGS__INTEGRATIONS__LOAD__DESKTOP__156.png,Settings pages show real rows/fields with only missing controls disabled.,The screen overuses not-configured/disabled/placeholder wording.,Render real settings rows and disable only the missing controls with one-line helper text.,P1,public/operations.html
OVERSIZED-LAYOUT-019,P2,oversized_layout,Too many visible actions,The screen exposes 57 visible actions.,BNAADMIN__BNA__STUDENTS__ASSIGNMENTS__LOAD__DESKTOP__185,/operations?workspace=bna&view=students&section=assignments&student=643,BNA Admin,BNA School Workspace,screenshots/desktop/BNAADMIN__BNA__STUDENTS__ASSIGNMENTS__LOAD__DESKTOP__185.png,"Page is compact, scannable, and action hierarchy is clear.",The screen exposes 57 visible actions.,Keep one primary action visible and group secondary actions into action menus.,P2,public/operations.html
OVERSIZED-LAYOUT-020,P2,oversized_layout,Too many card/panel blocks,The screen has 81 card-like elements.,BNAADMIN__BNA__CONTACTS__PEOPLE__LOAD__DESKTOP__200,/operations?workspace=bna&view=contacts&section=people,BNA Admin,BNA School Workspace,screenshots/desktop/BNAADMIN__BNA__CONTACTS__PEOPLE__LOAD__DESKTOP__200.png,"Page is compact, scannable, and action hierarchy is clear.",The screen has 81 card-like elements.,Use compact tables/lists and open details in drawers/pages.,P2,public/operations.html
OVERSIZED-LAYOUT-021,P2,oversized_layout,Too many visible actions,The screen exposes 75 visible actions.,BNAADMIN__BNA__CONTENT__LIBRARY__LOAD__DESKTOP__207,/operations?workspace=bna&view=content&section=library,BNA Admin,BNA School Workspace,screenshots/desktop/BNAADMIN__BNA__CONTENT__LIBRARY__LOAD__DESKTOP__207.png,"Page is compact, scannable, and action hierarchy is clear.",The screen exposes 75 visible actions.,Keep one primary action visible and group secondary actions into action menus.,P2,public/operations.html
