route,page_title,role,workspace,top_level_nav,subnav,page_type,public_or_private,expected_audience,actual_audience,primary_action,has_breadcrumbs,has_back_path,has_workspace_chip,has_role_chip,has_bot_panel,mobile_ready,notes
/,Public Site Home,Public,Public Website,Website,,page,public,Public visitor,Public Website,,false,false,false,false,false,,Too many card-like panels.
/he,Hebrew State,Public,Public Website,Website,,page,public,Public visitor,Public Website,,false,false,false,false,false,,No major automated issue detected; manual designer review still required.
/blog,Blog,Public,Public Website,Website,,page,public,Public visitor,Public Website,,false,false,false,false,true,,Too many card-like panels.
/he/blog,Hebrew State,Public,Public Website,Website,,page,public,Public visitor,Public Website,,false,false,false,false,false,,No major automated issue detected; manual designer review still required.
/faq,FAQ,Public,Public Website,Website,,page,public,Public visitor,Public Website,,false,false,false,false,false,,No major automated issue detected; manual designer review still required.
/he/faq,Hebrew State,Public,Public Website,Website,,page,public,Public visitor,Public Website,,false,false,false,false,false,,No major automated issue detected; manual designer review still required.
/signup.html,Signup English,Public,Public Website,Website,,page,public,Public visitor,Public Website,Open and Sign,false,false,false,false,false,,No major automated issue detected; manual designer review still required.
/signup-he.html,Hebrew State,Public,Public Website,Website,,page,public,Public visitor,Public Website,,false,false,false,false,false,,No major automated issue detected; manual designer review still required.
/signup-thank-you.html,Signup Thank You,Public,Public Website,Website,,page,public,Public visitor,Public Website,,false,false,false,false,false,,No major automated issue detected; manual designer review still required.
/documents/parent-handbook.html,Parent Handbook,Public,Public Website,Website,,page,public,Public visitor,Parent,,false,false,true,true,false,,No major automated issue detected; manual designer review still required.
/operations-login.html,Operations Login,Public,Operations Login,Auth,,login,public,Public visitor,Admin/operator,Sign In,true,true,true,false,false,,No major automated issue detected; manual designer review still required.
/parent,Parent Portal Login,Parent,BNA School Workspace,Portal,,login,private,BNA parent,Parent,Sign in,false,true,true,true,false,,Parent/student assistant placement must be explicitly reviewed.
/student,Student Workspace Login,Student,BNA School Workspace,Portal,,login,private,BNA student,Student,Open My Board,false,true,true,true,false,,Parent/student assistant placement must be explicitly reviewed.
