screen_id,screenshot_file,timestamp,viewport,role,workspace,section,page_title,route,url,previous_screen_id,clicked_label,expected_result,actual_result,result_type,back_path_available,primary_action_label,workspace_visible,role_visible,issues,notes
PUBLIC__WEBSITE__WEBSITE__PUBLIC_SITE_HOME__LOAD__DESKTOP__001,screenshots/desktop/PUBLIC__WEBSITE__WEBSITE__PUBLIC_SITE_HOME__LOAD__DESKTOP__001.png,2026-06-11T06:21:11.107Z,desktop,Public,Public Website,Website,Public Site Home,/,https://bneineviimacademy.org/,,,Public Site Home loads clearly.,Too many card-like panels.,page,false,,false,false,CARD-DENSITY,Too many card-like panels.
PUBLIC__WEBSITE__WEBSITE__HEBREW_STATE__LOAD__DESKTOP__002,screenshots/desktop/PUBLIC__WEBSITE__WEBSITE__HEBREW_STATE__LOAD__DESKTOP__002.png,2026-06-11T06:21:11.108Z,desktop,Public,Public Website,Website,Hebrew State,/he,https://bneineviimacademy.org/he,,,Public Site Home Hebrew Route loads clearly.,No major automated issue detected; manual designer review still required.,page,false,,false,false,,No major automated issue detected; manual designer review still required.
PUBLIC__WEBSITE__WEBSITE__BLOG__LOAD__DESKTOP__003,screenshots/desktop/PUBLIC__WEBSITE__WEBSITE__BLOG__LOAD__DESKTOP__003.png,2026-06-11T06:21:11.108Z,desktop,Public,Public Website,Website,Blog,/blog,https://bneineviimacademy.org/blog,,,Blog loads clearly.,Too many card-like panels.,page,false,,false,false,CARD-DENSITY,Too many card-like panels.
PUBLIC__WEBSITE__WEBSITE__HEBREW_STATE__LOAD__DESKTOP__004,screenshots/desktop/PUBLIC__WEBSITE__WEBSITE__HEBREW_STATE__LOAD__DESKTOP__004.png,2026-06-11T06:21:11.109Z,desktop,Public,Public Website,Website,Hebrew State,/he/blog,https://bneineviimacademy.org/he/blog,,,Blog Hebrew Route loads clearly.,No major automated issue detected; manual designer review still required.,page,false,,false,false,,No major automated issue detected; manual designer review still required.
PUBLIC__WEBSITE__WEBSITE__FAQ__LOAD__DESKTOP__005,screenshots/desktop/PUBLIC__WEBSITE__WEBSITE__FAQ__LOAD__DESKTOP__005.png,2026-06-11T06:21:11.109Z,desktop,Public,Public Website,Website,FAQ,/faq,https://bneineviimacademy.org/faq,,,FAQ loads clearly.,No major automated issue detected; manual designer review still required.,page,false,,false,false,,No major automated issue detected; manual designer review still required.
PUBLIC__WEBSITE__WEBSITE__HEBREW_STATE__LOAD__DESKTOP__006,screenshots/desktop/PUBLIC__WEBSITE__WEBSITE__HEBREW_STATE__LOAD__DESKTOP__006.png,2026-06-11T06:21:11.109Z,desktop,Public,Public Website,Website,Hebrew State,/he/faq,https://bneineviimacademy.org/he/faq,,,FAQ Hebrew Route loads clearly.,No major automated issue detected; manual designer review still required.,page,false,,false,false,,No major automated issue detected; manual designer review still required.
PUBLIC__WEBSITE__WEBSITE__SIGNUP_ENGLISH__LOAD__DESKTOP__007,screenshots/desktop/PUBLIC__WEBSITE__WEBSITE__SIGNUP_ENGLISH__LOAD__DESKTOP__007.png,2026-06-11T06:21:11.109Z,desktop,Public,Public Website,Website,Signup English,/signup.html,https://bneineviimacademy.org/signup.html,,,Signup English loads clearly.,No major automated issue detected; manual designer review still required.,page,false,Open and Sign,false,false,,No major automated issue detected; manual designer review still required.
PUBLIC__WEBSITE__WEBSITE__HEBREW_STATE__LOAD__DESKTOP__008,screenshots/desktop/PUBLIC__WEBSITE__WEBSITE__HEBREW_STATE__LOAD__DESKTOP__008.png,2026-06-11T06:21:11.109Z,desktop,Public,Public Website,Website,Hebrew State,/signup-he.html,https://bneineviimacademy.org/signup-he.html,,,Signup Hebrew loads clearly.,No major automated issue detected; manual designer review still required.,page,false,,false,false,,No major automated issue detected; manual designer review still required.
PUBLIC__WEBSITE__WEBSITE__SIGNUP_THANK_YOU__LOAD__DESKTOP__009,screenshots/desktop/PUBLIC__WEBSITE__WEBSITE__SIGNUP_THANK_YOU__LOAD__DESKTOP__009.png,2026-06-11T06:21:11.109Z,desktop,Public,Public Website,Website,Signup Thank You,/signup-thank-you.html,https://bneineviimacademy.org/signup-thank-you.html,,,Signup Thank You loads clearly.,No major automated issue detected; manual designer review still required.,page,false,,false,false,,No major automated issue detected; manual designer review still required.
PUBLIC__WEBSITE__WEBSITE__PARENT_HANDBOOK__LOAD__DESKTOP__010,screenshots/desktop/PUBLIC__WEBSITE__WEBSITE__PARENT_HANDBOOK__LOAD__DESKTOP__010.png,2026-06-11T06:21:11.109Z,desktop,Public,Public Website,Website,Parent Handbook,/documents/parent-handbook.html,https://bneineviimacademy.org/documents/parent-handbook.html,,,Parent Handbook loads clearly.,No major automated issue detected; manual designer review still required.,page,false,,true,true,,No major automated issue detected; manual designer review still required.
PUBLIC__OPERATIONS__AUTH__OPERATIONS_LOGIN__LOAD__DESKTOP__011,screenshots/desktop/PUBLIC__OPERATIONS__AUTH__OPERATIONS_LOGIN__LOAD__DESKTOP__011.png,2026-06-11T06:21:11.110Z,desktop,Public,Operations Login,Auth,Operations Login,/operations-login.html,https://bneineviimacademy.org/operations-login.html,,,Operations Login loads clearly.,No major automated issue detected; manual designer review still required.,page,true,Sign In,true,false,,No major automated issue detected; manual designer review still required.
PARENT__BNA__PORTAL__PARENT_PORTAL_LOGIN__LOAD__DESKTOP__012,screenshots/desktop/PARENT__BNA__PORTAL__PARENT_PORTAL_LOGIN__LOAD__DESKTOP__012.png,2026-06-11T06:21:11.110Z,desktop,Parent,BNA School Workspace,Portal,Parent Portal Login,/parent,https://bneineviimacademy.org/parent,,,Parent Portal Login loads clearly.,Parent/student assistant placement must be explicitly reviewed.,page,true,Sign in,true,true,BOT-AUDIT-REQUIRED,Parent/student assistant placement must be explicitly reviewed.
STUDENT__BNA__PORTAL__STUDENT_WORKSPACE_LOGIN__LOAD__DESKTOP__013,screenshots/desktop/STUDENT__BNA__PORTAL__STUDENT_WORKSPACE_LOGIN__LOAD__DESKTOP__013.png,2026-06-11T06:21:11.110Z,desktop,Student,BNA School Workspace,Portal,Student Workspace Login,/student,https://bneineviimacademy.org/student,,,Student Workspace Login loads clearly.,Parent/student assistant placement must be explicitly reviewed.,page,true,Open My Board,true,true,BOT-AUDIT-REQUIRED,Parent/student assistant placement must be explicitly reviewed.
